item_nr	datum	zeitstempel	thema	text	kw_type	kw_token	diskurs	fee	instantiation	frame	frame-url	annotation_sw
11	16-02-2023		Integration als Belastungsprobe für kleine Gemeinden		Geflüchtete	Flüchtlinge	Migration	Angriffen		Angriff	https://framenet-constructicon.hhu.de/framenet/frame?id=1059	ps
12	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		Geflüchtete	Flüchtlinge	Migration	Rückkehr		Eigenbewegung	https://framenet-https://framenet-constructicon.hhu.de/framenet/frame?id=1124constructicon.hhu.de/framenet/frame?id=1124	ps
13	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		Geflüchtete	Geflüchtete	Migration	kommen		Ankommen	https://framenet-constructicon.hhu.de/framenet/frame?id=1104	ps
14	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		Migration	eingewanderten	Bildung	neu eingewanderten		Ankommen	https://framenet-constructicon.hhu.de/framenet/frame?id=1104	ps
15	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		Migration	eingewanderten	Bildung	Jugendlichen		Personen_nach_Alter	https://framenet-constructicon.hhu.de/framenet/frame?id=1213	ps
16	05-12-2023		Deutsche Schüler schneiden bei internationaler Pisa-Studie so schlecht ab wie nie zuvor		"Schule; Migration"	"Schüler; zugewandert"	Bildung	zugewandert		Ankommen	https://framenet-constructicon.hhu.de/framenet/frame?id=1104	ps
17	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Migration	kam sie aus Chile	Migration	kam		Ankommen	https://framenet-constructicon.hhu.de/framenet/frame?id=1104	ps
18	06-11-2023		Ehrenamtliche Flüchtlingshelfer stehen vor Schwierigkeiten vor Ort		"Berufstätigkeit; Geflüchtete"	"arbeiten; Geflüchtete"	Migration	arbeiten		Arbeit	https://framenet-constructicon.hhu.de/framenet/frame?id=425	ps
19	17-10-2022		IQB-Bildungstrend: Viertklässler verschlechtern sich in Deutsch und Mathematik		Geflüchtete	Fluchtbewegungen	Bildung	Zuwachs		Ausdehnung_verursachen	https://framenet-constructicon.hhu.de/framenet/frame?id=1157	ps
20	30-03-2022		Bundesarbeitsminister Heil fordert für ukrainische Flüchtlinge schnellen Zugang zum Arbeitsmarkt		Migration	ukrainischen	Migration	ukrainischen		Ausland_oder_Inland	https://framenet-constructicon.hhu.de/framenet/frame?id=208	ps
21	23-06-2023		Bundestag beschließt Erleichterung bei Fachkräfte-Zuwanderung		"Ausbildung; Migration"	"Berufsabschlüsse; Ausländische"	Migration	Ausländische		Ausland_oder_Inland	https://framenet-constructicon.hhu.de/framenet/frame?id=208	ps
22	23-06-2023		Bundestag beschließt Erleichterung bei Fachkräfte-Zuwanderung		Ausbildung	Ausbildungshilfen	Migration	Inland		Ausland_oder_Inland	https://framenet-constructicon.hhu.de/framenet/frame?id=208	ps
23	23-06-2023		Bundestag beschließt Erleichterung bei Fachkräfte-Zuwanderung		Ausbildung	Ausbildungshilfen	Migration	junge Menschen		Personen_nach_Alter	https://framenet-constructicon.hhu.de/framenet/frame?id=1213	ps
24	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		Migration	Migranten	Migration	In Deutschland		Ausland_oder_Inland	https://framenet-constructicon.hhu.de/framenet/frame?id=208	ps
25	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Migration	kam sie aus Chile	Migration	kam sie aus Chile		Ausland_oder_Inland	https://framenet-constructicon.hhu.de/framenet/frame?id=208	ps
26	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		"Ausbildung; Migration"	"weiterzubilden; In Deutschland"	Migration	Entscheidungen		Auswählen	https://framenet-constructicon.hhu.de/framenet/frame?id=984	ps
27	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Integration	Integration	Migration	aufgebaut		Bauen	https://framenet-constructicon.hhu.de/framenet/frame?id=724	ps
28	26-08-2024		Schulstart in drei Bundesländern		Schule	Schulstandorte	Bildung	Baustelle		Bauen	https://framenet-constructicon.hhu.de/framenet/frame?id=724	ps
29	08-04-2022		Geflüchtete aus der Ukraine sollen staatliche Grundsicherung erhalten		"Geflüchtete; Sprachkurs; Berufstätigkeit"	"Asylbewerber; Sprachkurse; Arbeit"	Migration	behandelt		Behandeln_und_Misshandeln	https://framenet-constructicon.hhu.de/framenet/frame?id=836	ps
30	14-06-2022		Bundesinnenministerin Faeser und Arbeitsminister Heil besuchen Einrichtung für Flüchtlinge		Geflüchtete	Geflüchteten	Migration	nicht unterschiedlich behandeln		Behandeln_und_Misshandeln	https://framenet-constructicon.hhu.de/framenet/frame?id=836	ps
31	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		"Deutsch; Integration"	"Deutsch; Integration"	Migration	Hürde		Behindern	https://framenet-constructicon.hhu.de/framenet/frame?id=1073	ps
32	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		"Integration; Arbeitsmarkt"	"Integration; Arbeitsmarktexperten"	Migration	Hürden		Behindern	https://framenet-constructicon.hhu.de/framenet/frame?id=1073	ps
33	05-12-2023		Deutsche Schüler schneiden bei internationaler Pisa-Studie so schlecht ab wie nie zuvor		Schule	Schüler*innen	Bildung	"Bedarf; Handlungsbedarf"		Benötigen	https://framenet-constructicon.hhu.de/framenet/frame?id=168	ps
34	06-11-2023		Ehrenamtliche Flüchtlingshelfer stehen vor Schwierigkeiten vor Ort		"Geflüchtete; Sprachkurs; Berufstätigkeit"	"Geflüchtete; Sprachkurs; arbeiten"	Migration	sind nicht bereit		Bereitschaft	https://framenet-constructicon.hhu.de/framenet/frame?id=307	ps
35	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		Sprachkurs	Sprachkurs	Migration	will		Bereitschaft	https://framenet-constructicon.hhu.de/framenet/frame?id=307	ps
36	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Integration	integrieren	Migration	"möchte; möchte"		Bereitschaft	https://framenet-constructicon.hhu.de/framenet/frame?id=307	ps
37	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		"Berufstätigkeit; Migration"	"arbeiten; wollen in Deutschland leben"	Migration	wollen		Bereitschaft	https://framenet-constructicon.hhu.de/framenet/frame?id=307	ps
38	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Integration	Integration	Migration	Schaden zufügen		Beschädigen	https://framenet-constructicon.hhu.de/framenet/frame?id=1049	ps
39	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Berufstätigkeit	beschäftigen	Migration	beschäftigen		Beschäftigen	https://framenet-constructicon.hhu.de/framenet/frame?id=952	ps
40	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		Integration	Integrationskraft	Migration	muss klargemacht werden		Beurteilung_kommunizieren	https://framenet-constructicon.hhu.de/framenet/frame?id=578	ps
41	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Integration	Integrationshilfen	Migration	stoßen auf Kritik		Beurteilung_kommunizieren	https://framenet-constructicon.hhu.de/framenet/frame?id=578	ps
42	27-06-2024		Neue Einbürgerungsregeln treten in Kraft		"Deutsch; Ausbildung; Integration"	"Deutsch; Fortbildungen; Staatsbürgerschaft"	Migration	nächster Schritt		Bewegung	https://framenet-constructicon.hhu.de/framenet/frame?id=1138	ps
43	05-12-2023		Deutsche Schüler schneiden bei internationaler Pisa-Studie so schlecht ab wie nie zuvor		Schule	Schüler	Bildung	Gemessen		Bewerten	https://framenet-constructicon.hhu.de/framenet/frame?id=1096	ps
44	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		Integration	Integration	Migration	Vergleich		Bewertender_Vergleich	https://framenet-constructicon.hhu.de/framenet/frame?id=985	ps
45	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		"Ausbildung; Integration"	"beruflichen Abschlüssen und Qualifikationen; Integration"	Migration	Anerkennung von beruflichen Abschlüssen und Qualifikationen		Bewerten	https://framenet-constructicon.hhu.de/framenet/frame?id=1096	ps
46	06-11-2023		Ehrenamtliche Flüchtlingshelfer stehen vor Schwierigkeiten vor Ort		Geflüchtete	Geflüchtete	Migration	Probleme anzusprechen		Bewertung_Sozialverhalten	https://framenet-constructicon.hhu.de/framenet/frame?id=1001	ps
47	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		"Schule; Geflüchtete"	"Schulen; ukrainische"	Migration	Unterricht		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
48	16-05-2023		Laut IGLU-Studie hat jeder vierte Viertklässler Schwäche beim Lesen		"Schule; Migration"	"Schulen; internationaler"	Bildung	internationaler		Diversität	https://framenet-constructicon.hhu.de/framenet/frame?id=426	ps
49	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		Migration	kommen aus verschiedensten Ländern	Migration	verschiedensten		Diversität	https://framenet-constructicon.hhu.de/framenet/frame?id=426	ps
50	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		"Migration; Schule"	"kommen aus verschiedensten Ländern; Schulabschluss"	Migration	junge Leute		Personen_nach_Alter	https://framenet-constructicon.hhu.de/framenet/frame?id=1213	ps
51	30-03-2022		Bundesarbeitsminister Heil fordert für ukrainische Flüchtlinge schnellen Zugang zum Arbeitsmarkt		Ausbildung	Berufsabschlüssen	Migration	Berufsabschlüssen		Dokumente	https://framenet-constructicon.hhu.de/framenet/frame?id=1109	ps
52	23-06-2023		Bundestag beschließt Erleichterung bei Fachkräfte-Zuwanderung		"Ausbildung; Migration"	"Berufsabschlüsse; Ausländische"	Migration	Berufsabschlüsse		Dokumente	https://framenet-constructicon.hhu.de/framenet/frame?id=1109	ps
53	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		"Ausbildung; Deutsch; Integration"	"beruflichen Abschlüssen und Qualifikationen; Deutschkenntnisse; Integration"	Migration	"beruflichen Abschlüssen und Qualifikationen; bescheinigt"		Dokumente	https://framenet-constructicon.hhu.de/framenet/frame?id=1109	ps
54	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		"Integration; Schule; Kita"	"Integrationskraft; Schulen; Kindergärten"	Migration	wohlfühlen		Emotionen_durch_Stimulus	https://framenet-constructicon.hhu.de/framenet/frame?id=513	ps
55	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Sprachkurs	Kurs	Migration	Unsicherheit		Emotionen_durch_Stimulus	https://framenet-constructicon.hhu.de/framenet/frame?id=513	ps
56	08-04-2022		Geflüchtete aus der Ukraine sollen staatliche Grundsicherung erhalten		"Sprachkurs; Berufstätigkeit"	"Sprachkurse; Arbeit"	Migration	kommen leichter an		Empfangen	https://framenet-constructicon.hhu.de/framenet/frame?id=1045	ps
57	04-05-2023		Deutschland will sozial benachteiligte Kinder stärker fördern		Schule	Schulen	Bildung	bekommen		Empfangen	https://framenet-constructicon.hhu.de/framenet/frame?id=1045	ps
58	06-11-2023		Ehrenamtliche Flüchtlingshelfer stehen vor Schwierigkeiten vor Ort		Geflüchtete	Geflüchtete	Migration	nehmen		Empfangen	https://framenet-constructicon.hhu.de/framenet/frame?id=1045	ps
59	04-05-2023		Deutschland will sozial benachteiligte Kinder stärker fördern		"Schule; Migration"	"Abschluss; Migrationsanteil"	Bildung	machen ihren Abschluss		Erfolg_oder_Fehlschlag	https://framenet-constructicon.hhu.de/framenet/frame?id=178	ps
60	27-06-2024		Neue Einbürgerungsregeln treten in Kraft		"Integration; Deutsch"	"Einbürgerungstest; Sprach-und Einbürgerungstest"	Migration	bestanden		Erfolg_oder_Fehlschlag	https://framenet-constructicon.hhu.de/framenet/frame?id=178	ps
61	12-09-2023		Wachsende Schere bei beruflicher Bildung laut OECD-Studie		"Ausbildung; Schule"	"Ausbildung; Schulsystem"	Bildung	keine Ausbildung oder Abitur		Erfolg_oder_Fehlschlag	https://framenet-constructicon.hhu.de/framenet/frame?id=178	ps
62	12-09-2023		Wachsende Schere bei beruflicher Bildung laut OECD-Studie		"Ausbildung; Schule; Migration"	"Ausbildung; Schulsystem; Migration"	Bildung	junge Erwachsene		Personen_nach_Alter	https://framenet-constructicon.hhu.de/framenet/frame?id=1213	ps
63	12-09-2023		Wachsende Schere bei beruflicher Bildung laut OECD-Studie		"Arbeitsmarkt; Ausbildung"	"Arbeitsmarkt; Ausbildung"	Bildung	auf der Strecke bleiben		Erfolg_oder_Fehlschlag	https://framenet-constructicon.hhu.de/framenet/frame?id=178	ps
64	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		Schule	Unterrichtsausfall	Bildung	scheitern		Erfolg_oder_Fehlschlag	https://framenet-constructicon.hhu.de/framenet/frame?id=178	ps
65	02-12-2022		'Chancen-Aufenthaltsgesetz': Bundestag beschließt rechtliche Verbesserungen für Geduldete		Integration	integriert	Migration	Wenn sie sich integriert haben		Erfolgreiche_Vollendung	https://framenet-constructicon.hhu.de/framenet/frame?id=227	ps
66	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		Deutsch	Deutsch	Bildung	müssen dafür Sorge tragen		Erforderliches_Ereignis	https://framenet-constructicon.hhu.de/framenet/frame?id=175	ps
67	19-02-2023		Flüchtlinge aus Ukraine entlasten deutschen Arbeitsmarkt		Integration	Eingliederung	Migration	"Für; fordern"		Erforderliches_Ereignis	https://framenet-constructicon.hhu.de/framenet/frame?id=175	ps
68	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		"Migration; Arbeitsmarkt"	"Zuwanderung; Arbeitsmarkt"	Migration	auf Zuwanderung angewiesen		Erforderliches_Ereignis	https://framenet-constructicon.hhu.de/framenet/frame?id=175	ps
69	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		Geflüchtete	Flüchtlinge	Migration	Heimat		Erwarteter_Standort_der_Person	https://framenet-constructicon.hhu.de/framenet/frame?id=298	ps
70	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		Sprache	andere Muttersprache	Bildung	zu Hause		Erwarteter_Standort_der_Person	https://framenet-constructicon.hhu.de/framenet/frame?id=298	ps
71	23-06-2023		Bundestag beschließt Erleichterung bei Fachkräfte-Zuwanderung		"Ausbildung; Berufstätigkeit"	"Ausbildungshilfen; Erwerbsleben"	Migration	Erwerbsleben		Erwerbstätigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=849	ps
72	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Berufstätigkeit	arbeiten	Migration	Beruf		Erwerbstätigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=849	ps
73	07-09-2022		Ministerrunde und Wirtschaftsverbände beraten Maßnahmen gegen Fachkräftemangel		Deutsch	unsere Sprache	Migration	unsere Sprache sprechen		Fähigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1221	ps
74	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		Schule	Grundschüler	Bildung	"Lese- und Schreibfähigkeit; Sprachfähigkeit"		Fähigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1221	ps
75	16-05-2023		Laut IGLU-Studie hat jeder vierte Viertklässler Schwäche beim Lesen		Schule	Schulen	Bildung	Lesekompetenz		Fähigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1221	ps
76	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		Deutsch	Deutsch	Migration	können [...] Deutsch		Fähigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1221	ps
77	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		"Sprache; Kita"	"Sprachförderung und -kompetenz; frühkindlichen Bereich"	Bildung	-kompetenz		Fähigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1221	ps
78	05-12-2023		Deutsche Schüler schneiden bei internationaler Pisa-Studie so schlecht ab wie nie zuvor		Schule	Mathematik	Bildung	"Leistung; Kompetenzen"		Fähigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1221	ps
79	24-10-2024		Ministerpräsidenten und -präsidentinnen beraten zu Haushalts- und Asylpolitik		Integration	Integrationsfähigkeit	Migration	Integrationsfähigkeit		Fähigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1221	ps
80	26-08-2024		Schulstart in drei Bundesländern		Schule	Schulstandorte	Bildung	kämpfen		Feindliche_Begegnung	https://framenet-constructicon.hhu.de/framenet/frame?id=1199	ps
81	30-03-2022		Bundesarbeitsminister Heil fordert für ukrainische Flüchtlinge schnellen Zugang zum Arbeitsmarkt		Geflüchtete	Flüchtlinge	Migration	Geflüchtete		Flüchten	https://framenet-constructicon.hhu.de/framenet/frame?id=324	ps
82	08-04-2022		Geflüchtete aus der Ukraine sollen staatliche Grundsicherung erhalten		Geflüchtete	Flüchtlinge	Migration	Flüchtlinge		Flüchten	https://framenet-constructicon.hhu.de/framenet/frame?id=324	ps
83	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		Geflüchtete	Flüchtlinge	Migration	Flüchtlinge		Flüchten	https://framenet-constructicon.hhu.de/framenet/frame?id=324	ps
84	27-06-2024		Neue Einbürgerungsregeln treten in Kraft		Geflüchtete	Flucht	Migration	Flucht		Flüchten	https://framenet-constructicon.hhu.de/framenet/frame?id=324	ps
85	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		Geflüchtete	Geflüchtete	Migration	Geflüchtete		Flüchten	https://framenet-constructicon.hhu.de/framenet/frame?id=324	ps
86	26-08-2024		Schulstart in drei Bundesländern		Geflüchtete	Flüchtlingskinder	Bildung	Flüchtlingskinder		Flüchten	https://framenet-constructicon.hhu.de/framenet/frame?id=324	ps
87	16-02-2023		Integration als Belastungsprobe für kleine Gemeinden		Sprachkurs	Sprachkurs	Migration	Willkommensort		Gastfreundschaft	https://framenet-constructicon.hhu.de/framenet/frame?id=478	ps
88	04-05-2023		Deutschland will sozial benachteiligte Kinder stärker fördern		"Sprache; Schule"	"Muttersprache nicht Deutsch; Schulen"	Bildung	armutsgefährdet		Gefährdet_sein	https://framenet-constructicon.hhu.de/framenet/frame?id=248	ps
89	04-05-2023		Deutschland will sozial benachteiligte Kinder stärker fördern		Schule	Schulen	Bildung	Geld		Geld	https://framenet-constructicon.hhu.de/framenet/frame?id=366	ps
90	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		Integration	Integration	Migration	investiert		Geld	https://framenet-constructicon.hhu.de/framenet/frame?id=366	ps
91	02-12-2022		'Chancen-Aufenthaltsgesetz': Bundestag beschließt rechtliche Verbesserungen für Geduldete		Integration	integriert	Migration	Chancen		Gelegenheit	https://framenet-constructicon.hhu.de/framenet/frame?id=644	ps
92	23-06-2023		Bundestag beschließt Erleichterung bei Fachkräfte-Zuwanderung		"Ausbildung; Berufstätigkeit"	"Ausbildungshilfen; Erwerbsleben"	Migration	Chance		Gelegenheit	https://framenet-constructicon.hhu.de/framenet/frame?id=644	ps
93	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		"Migration; Berufstätigkeit"	"Migranten; Arbeit"	Migration	Chancen		Gelegenheit	https://framenet-constructicon.hhu.de/framenet/frame?id=644	ps
94	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		"Kita; Migration; Sprache"	"frühkindlichen Bereich; unterschiedlichster Herkunft; Sprachförderung und -kompetenz"	Bildung	Startchancen		Gelegenheit	https://framenet-constructicon.hhu.de/framenet/frame?id=644	ps
95	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		"Schule; Migration"	"Schulabschluss; kommen aus verschiedensten Ländern"	Migration	wissen		Gewahrsein	https://framenet-constructicon.hhu.de/framenet/frame?id=430	ps
96	17-10-2022		IQB-Bildungstrend: Viertklässler verschlechtern sich in Deutsch und Mathematik		Geflüchtete	Fluchtbewegungen	Bildung	schwachen		Grad_des_Kraftwiderstandes	https://framenet-constructicon.hhu.de/framenet/frame?id=528	ps
97	16-02-2023		Integration als Belastungsprobe für kleine Gemeinden		Integration	Integration	Migration	Belastungsprobe		Grad_des_Kraftwiderstandes	https://framenet-constructicon.hhu.de/framenet/frame?id=528	ps
98	16-02-2023		Integration als Belastungsprobe für kleine Gemeinden		Geflüchtete	Flüchtlinge	Migration	Belastungsgrenze		Grad_des_Kraftwiderstandes	https://framenet-constructicon.hhu.de/framenet/frame?id=528	ps
99	12-09-2023		Wachsende Schere bei beruflicher Bildung laut OECD-Studie		"Schule; Migration"	"Schulsystem; Migration"	Bildung	unter Druck		Grad_des_Kraftwiderstandes	https://framenet-constructicon.hhu.de/framenet/frame?id=528	ps
100	04-05-2023		Deutschland will sozial benachteiligte Kinder stärker fördern		Schule	Bildungsministerin	Bildung	"Chancengleichheit zu erhöhen; extreme Bildungsungleichheit"		Gradierbare_Attribute	https://framenet-constructicon.hhu.de/framenet/frame?id=6	ps
101	06-11-2023		Ehrenamtliche Flüchtlingshelfer stehen vor Schwierigkeiten vor Ort		Geflüchtete	Geflüchtete	Migration	stark zugenommen		Gradierbare_Attribute	https://framenet-constructicon.hhu.de/framenet/frame?id=6	ps
102	16-05-2023		Laut IGLU-Studie hat jeder vierte Viertklässler Schwäche beim Lesen		Deutsch	Deutsch	Bildung	bildungsfernen		Gradierbare_Nähe	https://framenet-constructicon.hhu.de/framenet/frame?id=886	ps
103	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		Schule	Unterrichtsausfall	Bildung	bildungsfernen		Gradierbare_Nähe	https://framenet-constructicon.hhu.de/framenet/frame?id=886	ps
104	24-10-2024		Ministerpräsidenten und -präsidentinnen beraten zu Haushalts- und Asylpolitik		Integration	Integrationsfähigkeit	Migration	Grenze		Grenze	https://framenet-constructicon.hhu.de/framenet/frame?id=958	ps
105	30-03-2022		Bundesarbeitsminister Heil fordert für ukrainische Flüchtlinge schnellen Zugang zum Arbeitsmarkt		Arbeitsmarkt	Arbeitsmarkt	Migration	Arbeitsmarkt		Handel_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=1174	ps
106	14-06-2022		Bundesinnenministerin Faeser und Arbeitsminister Heil besuchen Einrichtung für Flüchtlinge		Arbeitsmarkt	Arbeitsmarkt	Migration	Arbeitsmarkt		Handel_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=1174	ps
107	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		"Schule; Arbeitsmarkt"	"Schule; Arbeitsmarkt"	Bildung	Arbeitsmarkt		Handel_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=1174	ps
108	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Sprachkurs	Kursleiterinnen	Migration	Nachfrage		Handel_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=1174	ps
109	06-11-2023		Ehrenamtliche Flüchtlingshelfer stehen vor Schwierigkeiten vor Ort		Geflüchtete	Geflüchtete	Migration	Helfer		Helfen	https://framenet-constructicon.hhu.de/framenet/frame?id=1024	ps
110	04-05-2023		Deutschland will sozial benachteiligte Kinder stärker fördern		Schule	Schüler	Bildung	Herkunft		Herkunft	https://framenet-constructicon.hhu.de/framenet/frame?id=47	ps
111	04-05-2023		Deutschland will sozial benachteiligte Kinder stärker fördern		Schule	Schüler	Bildung	Bildungsministerium		Institutionen	https://framenet-constructicon.hhu.de/framenet/frame?id=285	ps
112	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		Migration	unterschiedlichster Herkunft	Bildung	Herkunft		Herkunft	https://framenet-constructicon.hhu.de/framenet/frame?id=47	ps
113	08-04-2022		Geflüchtete aus der Ukraine sollen staatliche Grundsicherung erhalten		Berufstätigkeit	Arbeit	Migration	kommen [...] an Arbeit		Job_bekommen	https://framenet-constructicon.hhu.de/framenet/frame?id=953	ps
